cluster_id,C_albicans,C_glabrata,K_lactis,S_cerevisiae,unknown,species_count
Cluster1594,0,1,0,0,0,1
Cluster1595,0,1,0,0,0,1
Cluster1596,0,1,0,0,0,1
Cluster1597,1,1,1,1,0,4
Cluster1598,1,0,0,1,0,2
Cluster1599,1,1,1,1,0,4
Cluster16,0,0,0,1,0,1
Cluster160,0,1,0,0,0,1
Cluster1600,1,1,0,1,0,3
Cluster1601,1,1,1,1,0,4
Cluster1602,0,0,0,0,3,1
Cluster1603,1,1,0,1,0,3
Cluster1604,1,1,1,1,0,4
Cluster1605,1,1,1,2,0,4
Cluster1606,1,1,1,1,0,4
Cluster1607,0,0,1,1,0,2
Cluster1608,0,1,0,1,0,2
Cluster1609,1,0,0,0,0,1
Cluster161,1,0,1,1,0,3
Cluster1610,1,0,0,0,0,1
Cluster1611,1,0,0,0,0,1
Cluster1612,1,0,0,0,0,1
Cluster1613,1,1,1,1,0,4
Cluster1614,1,0,1,2,0,3
Cluster1615,1,1,1,1,0,4
Cluster1616,1,1,1,1,0,4
Cluster1617,1,1,1,1,0,4
Cluster1618,1,1,1,1,0,4
Cluster1619,1,1,1,1,0,4
Cluster162,1,0,1,1,0,3
Cluster1620,1,2,1,2,0,4
Cluster1621,1,1,1,1,0,4
Cluster1622,1,1,1,1,0,4
Cluster1623,1,1,1,1,0,4
Cluster1624,0,2,1,2,0,3
Cluster1625,1,0,0,0,0,1
Cluster1626,1,0,0,0,0,1
Cluster1627,1,0,0,0,0,1
Cluster1628,1,0,0,0,0,1
Cluster1629,1,0,0,0,0,1
Cluster163,1,1,0,1,0,3
Cluster1630,0,0,0,1,0,1
Cluster1631,1,1,1,1,0,4
Cluster1632,0,1,1,1,0,3
Cluster1633,0,0,0,1,0,1
Cluster1634,0,1,1,1,0,3
Cluster1635,1,1,1,1,0,4
Cluster1636,1,1,1,1,0,4
Cluster1637,1,1,1,1,0,4
Cluster1638,1,1,1,1,0,4
Cluster1639,1,0,1,0,0,2
Cluster164,1,1,1,1,0,4
Cluster1640,1,1,1,1,0,4
Cluster1641,1,1,1,1,0,4
Cluster1642,1,1,1,1,0,4
Cluster1643,1,1,1,1,0,4
Cluster1644,1,1,1,1,0,4
Cluster1645,1,1,1,1,0,4
Cluster1646,1,1,1,1,0,4
Cluster1647,1,0,0,0,0,1
Cluster1648,1,1,1,1,0,4
Cluster1649,0,1,0,0,0,1
Cluster165,1,0,1,0,0,2
Cluster1650,1,1,1,1,0,4
